movie_title,movie_budget,movie_domestic_gross,movie_world_gross,movie_genre,movie_tomato_audience,movie_tomato_tomatometer,movie_imdb_rating,movie_imdb_metascore,movie_average_score,movie_poster,movie_director,movie_star1,movie_star2,movie_star3,movie_release_date,movie_release_year
NOPE,"$68,000,000.00 ","$123,277,080.00 ","$171,172,007.00 ",scifi,69,83,6.9,77,74.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jordan Peele,Daniel Kaluuya,Keke Palmer,Brandon Perea,22-Jul,2022
CARS,"$70,000,000.00 ","$244,082,982.00 ","$461,630,558.00 ",comedy,79,74,7.2,73,74.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Joe Ranft,Owen Wilson,Bonnie Hunt,Paul Newman,9-Jun,2006
SONIC THE HEDGEHOG 2,"$90,000,000.00 ","$190,872,904.00 ","$402,407,997.00 ",comedy,96,90,6.5,47,74.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jeff Fowler,James Marsden,Jim Carrey,(voice),8-Apr,2022
THE CURIOUS CASE OF BENJAMIN BUTTON,"$160,000,000.00 ","$127,509,326.00 ","$329,631,958.00 ",romance,80,71,7.8,70,74.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Fincher,Brad Pitt,Cate Blanchett,Tilda Swinton,25-Dec,2008
DOCTOR SLEEP,"$45,000,000.00 ","$31,581,712.00 ","$71,720,838.00 ",horror,89,78,7.3,59,74.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Mike Flanagan,Ewan McGregor,Rebecca Ferguson,Kyliegh Curran,8-Nov,2019
JOKER,"$55,000,000.00 ","$335,451,311.00 ","$1,069,121,583.00 ",crime,88,69,8.4,59,75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,4-Oct,2019
ANNIHILATION,"$55,000,000.00 ","$32,732,301.00 ","$43,070,915.00 ",scifi,66,88,6.8,79,75.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Alex Garland,Natalie Portman,Jennifer Jason Leigh,Tessa Thompson,23-Feb,2018
PITCH PERFECT,"$17,000,000 ","$65,001,093 ","$116,044,347 ",romance,83,81,7.1,66,75.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jason Moore,Anna Kendrick,Brittany Snow,Rebel Wilson,5-Oct,2012
NOTTING HILL,"$42,000,000.00 ","$116,089,678.00 ","$363,718,196.00 ",romance,79,84,7.2,68,75.75,"https://m.media-amazon.com/images/M/MV5BMTE5OTkwYzYtNDhlNC00MzljLTk1YTktY2IxZjliZmNjMjUzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",Roger Michell,Hugh Grant,Julia Roberts,Richard McCabe,28-May,1999
THE WOLF OF WALL STREET,"$100,000,000.00 ","$116,949,183.00 ","$389,816,136.00 ",comedy,83,63,8.2,75,75.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,25-Dec,2013
SNATCH,"$10,000,000 ","$30,093,107 ","$83,593,107 ",comedy,93,73,8.2,55,75.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Guy Ritchie,Jason Statham,Brad Pitt,Stephen Graham,19-Jan,2001
WIDOWS,"$40,000,000.00 ","$42,402,632.00 ","$75,984,700.00 ",crime,61,91,8.4,68,76,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Steve McQueen,Viola Davis,Michelle Rodriguez,Elizabeth Debicki,16-Nov,2018
THE LOBSTER,"$4,500,000 ","$9,196,278 ","$18,019,834 ",scifi,65,87,7.1,82,76.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Yorgos Lanthimos,Colin Farrell,Rachel Weisz,Jessica Barden,16-Oct,2015
THE HUNGER GAMES,"$80,000,000 ","$408,010,692 ","$677,923,379 ",scifi,81,84,7.2,68,76.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Gary Ross,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,23-Mar,2012
ANT-MAN,"$130,000,000.00 ","$180,202,163.00 ","$518,858,449.00 ",comedy,85,83,7.3,64,76.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Peyton Reed,Paul Rudd,Michael Douglas,Corey Stoll,17-Jul,2015
BLACK WIDOW,"$200,000,000.00 ","$183,651,655.00 ","$379,751,131.00 ",action,91,79,6.7,68,76.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Cate Shortland,Scarlett Johansson,Florence Pugh,David Harbour,9-Jul,2021
ANT-MAN AND THE WASP,"$130,000,000.00 ","$216,648,740.00 ","$623,144,660.00 ",comedy,80,87,7,70,76.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña,6-Jul,2018
JOHN WICK,"$30,000,000.00 ","$43,037,835.00 ","$76,010,510.00 ",action,81,86,7.4,68,77.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,David Leitch,Keanu Reeves,Michael Nyqvist,Alfie Allen,24-Oct,2014
TRAINING DAY,"$45,000,000.00 ","$76,261,036.00 ","$104,505,352.00 ",crime,89,74,7.7,69,77.25,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Antoine Fuqua,Denzel Washington,Ethan Hawke,Scott Glenn,5-Oct,2001
CRAZY RICH ASIANS,"$30,000,000.00 ","$174,532,921.00 ","$237,814,149.00 ",romance,76,91,6.9,74,77.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jon M. Chu,Constance Wu,Henry Golding,Michelle Yeoh,15-Aug,2018
SCOTT PILGRIM VS. THE WORLD,"$85,000,000 ","$32,841,100 ","$49,286,548 ",romance,84,82,7.5,69,77.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Edgar Wright,Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,13-Aug,2010
TITANIC,"$200,000,000.00 ","$674,316,965.00 ","$2,222,905,738.00 ",romance,69,88,7.9,75,77.75,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,19-Dec,1997
